Date,tickerYF,Close
2019-04-15,AZN,37.58
2019-04-16,AZN,37.1
2019-04-17,AZN,36.6
2019-04-18,AZN,36.63
2019-04-22,AZN,36.58
2019-04-23,AZN,36.53
2019-04-24,AZN,36.55
2019-04-25,AZN,36.87
2019-04-26,AZN,35.86
2019-04-29,AZN,36.04
2019-04-30,AZN,35.55
2019-05-01,AZN,35.26
2019-05-02,AZN,35.52
2019-05-03,AZN,36.26
2019-05-06,AZN,36.2
2019-05-07,AZN,35.85
2019-05-08,AZN,36.16
2019-05-09,AZN,36.32
2019-05-10,AZN,35.54
2019-05-13,AZN,35.19
2019-05-14,AZN,35.7
2019-05-15,AZN,35.57
2019-05-16,AZN,35.69
2019-05-17,AZN,35.67
2019-05-20,AZN,35.44
2019-05-21,AZN,35.76
2019-05-22,AZN,36.45
2019-05-23,AZN,36.5
2019-05-24,AZN,36.84
2019-05-28,AZN,35.88
2019-05-29,AZN,35.43
2019-05-30,AZN,35.41
2019-05-31,AZN,35.29
2019-06-03,AZN,35.78
2019-06-04,AZN,36.43
2019-06-05,AZN,36.21
2019-06-06,AZN,36.66
2019-06-07,AZN,36.84
2019-06-10,AZN,37.37
2019-06-11,AZN,37.19
2019-06-12,AZN,37.7
2019-06-13,AZN,37.68
2019-06-14,AZN,37.45
2019-06-17,AZN,37.74
2019-06-18,AZN,38.66
2019-06-19,AZN,39.35
2019-06-20,AZN,39.28
2019-06-21,AZN,39.05
2019-06-24,AZN,39.17
2019-06-25,AZN,39.08
2019-06-26,AZN,38.68
2019-06-27,AZN,38.7
2019-06-28,AZN,38.97
2019-07-01,AZN,39.0
2019-07-02,AZN,39.38
2019-07-03,AZN,39.64
2019-07-05,AZN,38.65
2019-07-08,AZN,38.55
2019-07-09,AZN,38.46
2019-07-10,AZN,38.83
2019-07-11,AZN,38.19
2019-07-12,AZN,37.96
2019-07-15,AZN,37.97
2019-07-16,AZN,37.95
2019-07-17,AZN,38.08
2019-07-18,AZN,38.45
2019-07-19,AZN,37.88
2019-07-22,AZN,38.07
2019-07-23,AZN,38.31
2019-07-24,AZN,38.09
2019-07-25,AZN,40.27
2019-07-26,AZN,41.08
2019-07-29,AZN,41.91
2019-07-30,AZN,41.41
2019-07-31,AZN,40.98
2019-08-01,AZN,41.54
2019-08-02,AZN,41.8
2019-08-05,AZN,41.12
2019-08-06,AZN,41.18
2019-08-07,AZN,41.46
2019-08-08,AZN,42.1
2019-08-09,AZN,42.7
2019-08-12,AZN,42.31
2019-08-13,AZN,42.79
2019-08-14,AZN,41.79
2019-08-15,AZN,42.14
2019-08-16,AZN,42.29
2019-08-19,AZN,42.37
2019-08-20,AZN,42.56
2019-08-21,AZN,43.32
2019-08-22,AZN,43.31
2019-08-23,AZN,42.52
2019-08-26,AZN,42.76
2019-08-27,AZN,42.81
2019-08-28,AZN,42.73
2019-08-29,AZN,43.32
2019-08-30,AZN,42.95
2019-09-03,AZN,43.18
2019-09-04,AZN,43.25
2019-09-05,AZN,42.69
2019-09-06,AZN,42.67
2019-09-09,AZN,41.78
2019-09-10,AZN,41.27
2019-09-11,AZN,41.11
2019-09-12,AZN,40.92
2019-09-13,AZN,40.79
2019-09-16,AZN,40.55
2019-09-17,AZN,41.14
2019-09-18,AZN,41.56
2019-09-19,AZN,42.55
2019-09-20,AZN,43.09
2019-09-23,AZN,42.51
2019-09-24,AZN,43.08
2019-09-25,AZN,43.25
2019-09-26,AZN,43.37
2019-09-27,AZN,43.19
2019-09-30,AZN,42.51
2019-10-01,AZN,41.64
2019-10-02,AZN,40.5
2019-10-03,AZN,41.18
2019-10-04,AZN,41.31
2019-10-07,AZN,41.43
2019-10-08,AZN,41.05
2019-10-09,AZN,41.4
2019-10-10,AZN,41.59
2019-10-11,AZN,41.57
2019-10-14,AZN,41.82
2019-10-15,AZN,42.17
2019-10-16,AZN,41.77
2019-10-17,AZN,42.09
2019-10-18,AZN,41.84
2019-10-21,AZN,41.7
2019-10-22,AZN,41.89
2019-10-23,AZN,42.63
2019-10-24,AZN,45.07
2019-10-25,AZN,45.47
2019-10-28,AZN,45.54
2019-10-29,AZN,45.39
2019-10-30,AZN,46.76
2019-10-31,AZN,46.77
2019-11-01,AZN,46.16
2019-11-04,AZN,45.89
2019-11-05,AZN,45.02
2019-11-06,AZN,45.15
2019-11-07,AZN,44.64
2019-11-08,AZN,45.08
2019-11-11,AZN,44.72
2019-11-12,AZN,44.91
2019-11-13,AZN,45.61
2019-11-14,AZN,45.18
2019-11-15,AZN,45.25
2019-11-18,AZN,45.73
2019-11-19,AZN,45.47
2019-11-20,AZN,44.84
2019-11-21,AZN,45.41
2019-11-22,AZN,45.75
2019-11-25,AZN,46.52
2019-11-26,AZN,46.51
2019-11-27,AZN,46.52
2019-11-29,AZN,46.24
2019-12-02,AZN,46.15
2019-12-03,AZN,45.68
2019-12-04,AZN,45.97
2019-12-05,AZN,45.42
2019-12-06,AZN,45.48
2019-12-09,AZN,45.56
2019-12-10,AZN,45.76
2019-12-11,AZN,45.96
2019-12-12,AZN,45.71
2019-12-13,AZN,46.13
2019-12-16,AZN,47.03
2019-12-17,AZN,46.71
2019-12-18,AZN,46.97
2019-12-19,AZN,47.66
2019-12-20,AZN,48.13
2019-12-23,AZN,47.59
2019-12-24,AZN,47.57
2019-12-26,AZN,47.55
2019-12-27,AZN,48.11
2019-12-30,AZN,47.7
2019-12-31,AZN,47.56
2020-01-02,AZN,48.06
2020-01-03,AZN,47.78
2020-01-06,AZN,47.58
2020-01-07,AZN,47.76
2020-01-08,AZN,47.64
2020-01-09,AZN,47.77
2020-01-10,AZN,47.55
2020-01-13,AZN,47.38
2020-01-14,AZN,47.86
2020-01-15,AZN,48.45
2020-01-16,AZN,48.18
2020-01-17,AZN,48.96
2020-01-21,AZN,48.45
2020-01-22,AZN,48.12
2020-01-23,AZN,47.88
2020-01-24,AZN,47.0
2020-01-27,AZN,46.64
2020-01-28,AZN,47.31
2020-01-29,AZN,47.37
2020-01-30,AZN,46.82
2020-01-31,AZN,46.45
2020-02-03,AZN,46.27
2020-02-04,AZN,46.51
2020-02-05,AZN,47.43
2020-02-06,AZN,47.72
2020-02-07,AZN,47.12
2020-02-10,AZN,47.61
2020-02-11,AZN,47.48
2020-02-12,AZN,47.29
2020-02-13,AZN,47.05
2020-02-14,AZN,45.64
2020-02-18,AZN,46.84
2020-02-19,AZN,47.03
2020-02-20,AZN,46.68
2020-02-21,AZN,47.85
2020-02-24,AZN,45.39
2020-02-25,AZN,44.91
2020-02-26,AZN,45.37
2020-02-27,AZN,43.86
2020-02-28,AZN,42.63
2020-03-02,AZN,44.64
2020-03-03,AZN,44.3
2020-03-04,AZN,47.3
2020-03-05,AZN,47.09
2020-03-06,AZN,46.25
2020-03-09,AZN,44.02
2020-03-10,AZN,45.65
2020-03-11,AZN,43.39
2020-03-12,AZN,39.67
2020-03-13,AZN,41.15
2020-03-16,AZN,36.78
2020-03-17,AZN,39.84
2020-03-18,AZN,38.31
2020-03-19,AZN,39.06
2020-03-20,AZN,38.37
2020-03-23,AZN,37.74
2020-03-24,AZN,39.8
2020-03-25,AZN,39.3
2020-03-26,AZN,41.23
2020-03-27,AZN,41.33
2020-03-30,AZN,43.34
2020-03-31,AZN,43.47
2020-04-01,AZN,42.61
2020-04-02,AZN,42.59
2020-04-03,AZN,42.78
2020-04-06,AZN,43.13
2020-04-07,AZN,41.95
2020-04-08,AZN,42.68
2020-04-09,AZN,43.47
2020-04-13,AZN,46.09
2020-04-14,AZN,47.38
2020-04-15,AZN,46.75
2020-04-16,AZN,47.82
2020-04-17,AZN,48.69
2020-04-20,AZN,49.09
2020-04-21,AZN,48.73
2020-04-22,AZN,49.01
2020-04-23,AZN,49.04
2020-04-24,AZN,49.81
2020-04-27,AZN,50.1
2020-04-28,AZN,49.61
2020-04-29,AZN,49.36
2020-04-30,AZN,50.88
2020-05-01,AZN,50.47
2020-05-04,AZN,50.95
2020-05-05,AZN,52.04
2020-05-06,AZN,52.59
2020-05-07,AZN,51.33
2020-05-08,AZN,51.86
2020-05-11,AZN,52.51
2020-05-12,AZN,52.66
2020-05-13,AZN,53.83
2020-05-14,AZN,52.07
2020-05-15,AZN,51.98
2020-05-18,AZN,52.02
2020-05-19,AZN,52.14
2020-05-20,AZN,52.34
2020-05-21,AZN,53.8
2020-05-22,AZN,53.74
2020-05-26,AZN,51.69
2020-05-27,AZN,51.07
2020-05-28,AZN,52.07
2020-05-29,AZN,53.14
2020-06-01,AZN,53.68
2020-06-02,AZN,53.26
2020-06-03,AZN,53.53
2020-06-04,AZN,52.43
2020-06-05,AZN,52.41
2020-06-08,AZN,51.17
2020-06-09,AZN,51.32
